ALBUM,SONG,STREAMS,DAILY
My World,Bigger,"20,940,756","117,499"
My World,Common Denominator - iTunes Bonus,"16,505,608","75,460"
My World,Down To Earth,"41,301,641","241,366"
My World,Favorite Girl,"96,208,709","2,381,069"
My World,First Dance,"22,033,684","125,122"
My World,Love Me,"127,471,819","1,576,559"
My World,One Less Lonely Girl,"139,870,756","1,588,678"
My World,One Less Lonely Girl - French Vocal,"531,227","3,671"
My World,One Time,"187,531,529","1,967,989"
My Worlds,Baby,"543,622,841","9,550,139"
My Worlds,Eenie Meenie,"370,017,021","4,427,049"
My Worlds,Never Let You Go,"45,670,626","312,031"
My Worlds,Overboard,"65,463,387","350,499"
My Worlds,Runaway Love,"25,050,975","154,135"
My Worlds,Somebody To Love,"190,975,777","2,099,037"
My Worlds,Stuck In The Moment,"67,119,328","626,139"
My Worlds,That Should Be Me,"134,027,721","1,611,287"
My Worlds,U Smile,"84,942,729","615,668"
My Worlds,Up,"48,421,626","201,645"
Never Say Never - The Remixes,Born To Be Somebody,"20,572,609","-60,379,073"
Never Say Never - The Remixes,Never Say Never,"195,011,971","169,788,489"
Never Say Never - The Remixes,Overboard (Live),"2,759,387","-40,621,546"
Never Say Never - The Remixes,Runaway Love - Kanye West Remix,"7,576,723","-33,946,630"
Never Say Never - The Remixes,That Should Be Me,"47,643,001","14,020,944"
Under The Mistletoe,All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey,"81,015,368","63,606,686"
Under The Mistletoe,All I Want Is You,"25,247,028","-488,639,117"
Under The Mistletoe,Christmas Eve,"43,409,512","18,808,017"
Under The Mistletoe,Christmas Love,"54,837,397","7,668,295"
Under The Mistletoe,Drummer Boy,"41,569,062","22,982,524"
Under The Mistletoe,Fa La La,"33,670,343","-49,956,631"
Under The Mistletoe,Fa La La - (a cappella),"12,024,298","-42,772,863"
Under The Mistletoe,Home This Christmas,"17,422,567","5,409,185"
Under The Mistletoe,Mistletoe,"514,520,558","472,292,985"
Under The Mistletoe,Only Thing I Ever Get For Christmas,"24,623,829","10,161,209"
Under The Mistletoe,Pray,"42,323,674","21,798,154"
Under The Mistletoe,Santa Claus Is Coming To Town,"47,209,652","-145,375,955"
Under The Mistletoe,Silent Night,"18,600,391","15,902,485"
Under The Mistletoe,Someday At Christmas,"14,472,204","6,920,594"
Under The Mistletoe,The Christmas Song (Chestnuts Roasting On An Open Fire),"83,666,630","36,231,447"
Believe,All Around The World,"115,780,966","594,710"
Believe,As Long As You Love Me,"311,539,256","1,986,850"
Believe,Be Alright,"79,635,375","394,417"
Believe,Beauty And A Beat,"390,365,213","5,058,748"
Believe,Believe,"34,979,056","120,197"
Believe,Boyfriend,"359,623,411","3,654,784"
Believe,Catching Feelings,"31,359,604","132,738"
Believe,Die In Your Arms,"62,386,913","226,965"
Believe,Fairytale,"14,021,331","28,440"
Believe,Fall,"68,012,007","275,685"
Believe,Maria,"29,441,923","78,838"
Believe,One Love,"32,693,610","121,125"
Believe,Out Of Town Girl,"19,332,235","51,595"
Believe,Right Here,"50,869,370","251,174"
Believe,She Don't Like The Lights,"18,142,625","53,799"
Believe,Take You,"38,309,765","134,024"
Believe,Thought Of You,"33,573,280","133,419"
Believe Acoustic,All Around The World - Acoustic Version,"22,586,449","44,515"
Believe Acoustic,As Long As You Love Me - Acoustic Version,"70,300,198","210,841"
Believe Acoustic,Be Alright - Acoustic Version,"40,311,087","83,611"
Believe Acoustic,Beauty And A Beat,"45,089,069","118,566"
Believe Acoustic,Boyfriend - Acoustic Version,"56,412,750","141,466"
Believe Acoustic,Fall - Live,"31,899,401","71,216"
Believe Acoustic,I Would,"35,360,758","86,689"
Believe Acoustic,Nothing Like Us,"141,244,043","550,281"
Believe Acoustic,She Don't Like The Lights - Acoustic Version,"27,866,260","54,233"
Believe Acoustic,Take You - Acoustic Version,"31,202,618","59,394"
Believe Acoustic,Yellow Raincoat,"19,115,505","43,570"
Journals,All Bad,"29,162,167","100,364"
Journals,All That Matters,"173,608,648","1,367,974"
Journals,Backpack,"33,459,325","79,503"
Journals,Bad Day,"34,807,853","147,582"
Journals,Change Me,"26,643,749","81,538"
Journals,Confident,"274,534,076","4,609,616"
Journals,Flatline,"10,984,703","225,474"
Journals,Heartbreaker,"96,778,971","563,254"
Journals,Hold Tight,"73,069,918","295,558"
Journals,Memphis,"30,124,160","86,614"
Journals,One Life,"30,289,578","138,195"
Journals,PYD,"22,517,846","71,398"
Journals,Recovery,"42,869,786","148,529"
Journals,Roller Coaster,"44,436,079","119,685"
Journals,Swap It Out,"28,013,401","225,892"
Journals,What's Hatnin',"21,987,149","61,715"
Purpose,All In It,"64,813,588","136,024"
Purpose,Been You,"106,822,636","235,016"
Purpose,Children,"116,253,417","218,658"
Purpose,Company,"434,058,035","1,955,686"
Purpose,Get Used To It,"84,142,174","190,196"
Purpose,I'll Show You,"328,887,418","756,944"
Purpose,Life Is Worth Living,"149,297,224","407,226"
Purpose,Love Yourself,"1,858,531,769","12,125,153"
Purpose,Mark My Words,"157,300,717","308,522"
Purpose,No Pressure,"179,759,407","458,029"
Purpose,No Sense,"146,000,887","521,039"
Purpose,Purpose,"323,871,914","1,117,339"
Purpose,Sorry,"1,659,953,973","7,896,904"
Purpose,The Feeling,"228,811,776","553,138"
Purpose,Trust,"68,361,173","139,963"
Purpose,We Are,"74,884,668","142,141"
Purpose,What Do You Mean?,"1,327,674,558","5,207,791"
Purpose,What Do You Mean? - Acoustic,"164,923,520","391,451"
Purpose,Where Are ?? Now,"979,783,449","3,147,547"
Changes,All Around Me,"70,226,164","479,652"
Changes,At Least For Now,"29,224,941","187,309"
Changes,Available,"52,510,930","264,169"
Changes,Changes,"61,016,550","569,585"
Changes,Come Around Me,"108,703,156","1,170,993"
Changes,Confirmation,"46,383,268","294,726"
Changes,E.T.A.,"45,158,013","364,114"
Changes,Forever (feat. Post Malone & Clever),"201,783,656","1,337,015"
Changes,Get Me (feat. Kehlani),"100,612,566","526,293"
Changes,Habitual,"73,419,047","670,130"
Changes,Intentions (feat. Quavo),"955,710,297","7,470,821"
Changes,Running Over (feat. Lil Dicky),"48,915,389","245,340"
Changes,Second Emotion (feat. Travis Scott),"55,118,071","455,160"
Changes,Take It Out On Me,"31,376,613","134,857"
Changes,That's What Love Is,"43,414,957","392,011"
Changes,Yummy,"687,613,559","3,413,444"
Changes,Yummy - Summer Walker Remix,"41,704,822","211,492"
Justice,2 Much,"97,085,754","2,044,041"
Justice,Anyone,"516,024,598","6,589,891"
Justice,As I Am (feat. Khalid),"172,775,728","2,585,009"
Justice,Deserve You,"82,406,783","1,593,587"
Justice,Die For You (feat. Dominic Fike),"74,074,039","1,418,363"
Justice,Ghost,"723,012,795","31,412,436"
Justice,Hold On,"550,535,462","9,231,565"
Justice,Holy (feat. Chance The Rapper),"653,184,664","5,540,107"
Justice,Lonely (with benny blanco),"629,162,422","6,267,994"
Justice,Love You Different (feat. BEAM),"62,979,546","1,011,121"
Justice,Loved By You (feat. Burna Boy),"73,904,342","1,408,598"
Justice,MLK Interlude,"20,743,438","241,010"
Justice,Off My Face,"165,166,437","5,378,396"
Justice,Peaches (feat. Daniel Caesar & Giveon),"1,217,189,720","16,397,942"
Justice,Somebody,"70,089,311","1,417,430"
Justice,Unstable (feat. The Kid LAROI),"116,268,292","2,040,655"
Justice,Angels Speak,"13,970,343","377,106"
Justice,Hailey,"42,076,746","1,923,115"
Justice,I Can't Be Myself (feat. Jaden),"28,615,249","505,640"
Justice,Know No Better (feat. DaBaby),"23,664,319","503,105"
Justice,Lifetime,"53,646,250","975,685"
Justice,Name (feat. Tori Kelly),"21,801,373","428,850"
Justice,Red Eye (feat. TroyBoi),"59,279,429","1,490,360"
Justice,There She Go (feat. Lil Uzi Vert),"42,084,521","775,420"
Justice,Wish You Would (feat. Quavo),"21,191,437","333,195"
My Worlds - The Collection,Baby - Acoustic Version,"12,790,592","46,237"
My Worlds - The Collection,Down To Earth - Acoustic Version,"9,437,768","24,746"
My Worlds - The Collection,Favorite Girl (Live) - Acoustic Version,"7,175,186","30,586"
My Worlds - The Collection,Never Say Never - Acoustic Version,"8,100,554","23,594"
My Worlds - The Collection,One Less Lonely Girl - Acoustic,"10,906,698","45,156"
My Worlds - The Collection,One Time - Acoustic Version,"10,363,589","42,579"
My Worlds - The Collection,Somebody To Love - J Stax Remix,"1,805,539","4,609"
My Worlds - The Collection,Stuck In The Moment - Acoustic Version,"8,063,355","24,984"
My Worlds - The Collection,That Should Be Me - Acoustic Version,"10,981,206","40,784"
My Worlds - The Collection,U Smile - Acoustic Version,"7,356,890","21,724"
Work From Home,Intentions - Acoustic,"37,655,386","870,457"
JB6,Holy - Acoustic,"18,599,813","247,343"
JB6,Lonely - Acoustic,"10,232,160","170,777"
One Time,One Time (My Heart Edition),"3,906,226","19,125"
One Time,One Time - Instrumental,"5,610",20
As Long As You Love Me,As Long As You Love Me - Audien Dubstep Edit,"569,975","1,919"
As Long As You Love Me,As Long As You Love Me - Audien Dubstep Mix,"861,981","3,061"
As Long As You Love Me,As Long As You Love Me - Audiobot Edit,"354,595","1,475"
As Long As You Love Me,As Long As You Love Me - Audiobot Instrumental,"191,888","1,218"
As Long As You Love Me,As Long As You Love Me - Audiobot Remix,"387,110","1,837"
As Long As You Love Me,As Long As You Love Me - Ferry Corsten Club Dub,"192,242","1,223"
As Long As You Love Me,As Long As You Love Me - Ferry Corsten Radio,"1,507,398","5,297"
As Long As You Love Me,As Long As You Love Me - Ferry Corsten Remix,"864,263","4,494"
As Long As You Love Me,As Long As You Love Me - PAULO & JACKINSKY Club Mix,"334,130","1,580"
As Long As You Love Me,As Long As You Love Me - PAULO & JACKINSKY Dub,"148,846","1,072"
As Long As You Love Me,As Long As You Love Me - PAULO & JACKINSKY Radio,"185,525","1,606"
Beauty And A Beat,Beauty And A Beat - Bisbetic Instrumental,"167,467",967
Beauty And A Beat,Beauty And A Beat - Bisbetic Radio Mix,"1,784,883","7,865"
Beauty And A Beat,Beauty And A Beat - Bisbetic Remix,"368,731","2,002"
Beauty And A Beat,Beauty And A Beat - DJ Laszlo Body Rock Club Mix,"168,127",999
Beauty And A Beat,Beauty And A Beat - DJ Laszlo Body Rock Instrumental,"135,119",987
Beauty And A Beat,Beauty And A Beat - DJ Laszlo Body Rock Radio Mix,"244,331","1,515"
Beauty And A Beat,Beauty And A Beat - Steven Redant Beauty and The Club Mix,"411,529","1,834"
Beauty And A Beat,Beauty And A Beat - Steven Redant Beauty and The Dub Mix,"357,462","1,950"
Beauty And A Beat,Beauty And A Beat - Wideboys Club Mix,"3,358,722","5,130"
Beauty And A Beat,Beauty And A Beat - Wideboys Dub,"240,635","1,050"
Beauty And A Beat,Beauty And A Beat - Wideboys Radio Mix,"4,004,879","27,375"
Boyfriend,Boyfriend - Joe Gauthreaux & Peter Barona Club Mix,"116,564",827
Boyfriend,Boyfriend - Joe Gauthreaux & Peter Barona Full Vocal Club Mix,"139,720",939
Boyfriend,Boyfriend - Joe Gauthreaux Dark Dub,"110,581",771
Boyfriend,Boyfriend - Oliver Twizt Club,"207,620","1,028"
Boyfriend,Boyfriend - Oliver Twizt Instrumental,"126,976","1,473"
Boyfriend,Boyfriend - Oliver Twizt Radio,"410,164","2,639"
Boyfriend,Boyfriend - Vice Instrumental,"120,236",789
Boyfriend,Boyfriend - Vice Radio,"206,770",926
Turn To You,Turn To You - (Mother's Day Dedication),"17,705,709","23,369"
Wait For A Minute,Wait For A Minute,"53,195,433","123,594"
Sorry,Sorry - Latino Remix,"177,006,438","320,086"
Friends,Friends (with BloodPop?? & Julia Michaels) - Remix,"12,755,304","31,633"
Friends,Friends (with BloodPop??),"604,335,515","1,548,689"
No Brainer,No Brainer,"557,916,764","1,503,881"
"10,000 Hours","10,000 Hours (with Justin Bieber) - Piano","50,738,263","388,893"
"10,000 Hours","10,000 Hours (with Justin Bieber)","837,096,016","6,353,464"
bad guy,bad guy (with Justin Bieber),"333,225,951","1,428,673"
I Don't Care,I Don't Care (with Justin Bieber) - Chronixx & Koffee Remix,"4,950,198","27,863"
I Don't Care,I Don't Care (with Justin Bieber) - Loud Luxury Remix,"33,101,328","163,970"
I Don't Care,I Don't Care (with Justin Bieber) - Jonas Blue Remix,"42,136,784","251,299"
I Don't Care,I Don't Care (with Justin Bieber),"1,567,049,751","8,194,053"
Stuck with U,Stuck with U (with Justin Bieber),"819,047,831","9,424,891"
Monster,Monster (Shawn Mendes & Justin Bieber),"476,348,548","4,989,217"
Rockin' Around The Christmas Tree,Rockin' Around The Christmas Tree,"1,478,132","11,045"
Mood,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","208,603,914","1,899,492"
Yummy,Yummy - Country Remix,"3,772,989","26,255"
lonely christmas,lonely christmas (feat. Justin Bieber & Poo Bear),"11,570,389","52,234"
Don???t Go,Don???t Go (with Justin Bieber & Don Toliver),"84,617,242","1,532,665"
Essence,Essence (feat. Justin Bieber & Tems),"90,900,809","2,171,831"
STAY,STAY (with Justin Bieber),"2,035,865,922","40,972,322"
Peaches,Peaches (Masterkraft Remix) feat. Alpha P & Omah Lay,"3,274,976","67,322"
Peaches,"Peaches (Remix) feat. Ludacris, Usher & Snoop Dogg","28,498,160","421,432"
Freedom.,Afraid To Say (feat. Lauren Walters),"3,858,456","45,440"
Freedom.,All She Wrote (feat. Brandon Love & Chandler Moore),"3,798,559","37,336"
Freedom.,Freedom (with BEAM),"12,242,363","180,516"
Freedom.,We???re In This Together,"4,517,663","55,268"
Freedom.,"Where Do I Fit In (feat. Tori Kelly, Chandler Moore & Judah Smith)","11,048,509","178,005"
Freedom.,"Where You Go I Follow (feat. Pink Sweat$, Chandler Moore & Judah Smith)","6,588,480","95,893"
Honest,Honest (feat. Don Toliver),"67,306,059","63,277,335"
I Feel Funny,I Feel Funny,"4,182,301","-28,283,864"
up at night,up at night (feat. justin bieber),"34,375,254","-10,683,677"
attention,attention,"47,526,789","-15,172,103"
Orphan,Home To Mama,"139,243,792","202,928"
Features,Somebody to Love (feat. Justin Bieber) - Remix,"8,420,648","34,891"
Features,Next To You (feat. Justin Bieber),"190,242,046","1,687,930"
Features,Beautiful,"18,563,985","45,438"
Features,Live My Life,"99,352,247","493,554"
Features,Live My Life - Party Rock Remix,"13,959,226","48,566"
Features,#thatPOWER,"209,884,835","1,315,982"
Features,Gas Pedal - Remix,"34,257,978","165,728"
Features,Maria I'm Drunk (feat. Justin Bieber & Young Thug),"99,864,710","1,486,331"
Features,Foreign Remix (feat. Justin Bieber),"35,184,341","73,342"
Features,Let Me Love You,"1,625,133,674","11,003,910"
Features,Juke Jam (feat. Justin Bieber & Towkio),"272,444,917","618,235"
Features,Deja Vu,"353,728,387","1,519,971"
Features,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","1,133,560,997","394,597,101"
Features,2U (feat. Justin Bieber),"741,140,651","617,343,453"
Features,Hard 2 Face Reality,"126,794,548","92,242,330"
Features,Let Me Love You (feat. Justin Bieber) - Don Diablo Remix,"34,669,188","-1,519,190,554"
Features,Despacito - Remix,"1,558,436,229","1,401,817,439"
Features,Don't Check On Me (feat. Justin Bieber & Ink),"157,195,937","138,224,699"
Features,Love Thru the Computer (feat. Justin Bieber),"19,003,858","-19,145,292"
Features,Falling For You with Justin Bieber,"38,477,622","-41,154,094"
Features,LET IT GO (feat. Justin Bieber & 21 Savage),"80,932,285","64,274,775"
Features,What You See (feat. Justin Bieber),"16,865,890","-77,795,661"
Features,Wandered To LA (with Justin Bieber),"97,003,489","91,358,333"
Features,SUNDOWN (feat. Justin Bieber),"5,958,209","-1,294,243,644"
Features,Cold Water,"1,304,834,437","1,250,864,927"
Features,Let Me Love You - Andrew Watt Acoustic Remix,"38,836,597","229,824"
Features,Let Me Love You - Marshmello Remix,"42,970,949",0
Features,bad guy,"2,105,897,372",0
Features,Despacito - Remix,"14,152,393",0
Features,Let Me Love You - Ti??sto's AFTR:HRS Mix,"54,243,213",0
Features,Next To You (feat. Justin Bieber) - Radio Edit,"4,319,017",0
Features,Where Are ?? Now (with Justin Bieber) - Ember Island Remix,"7,621,599",0
Features,Where Are ?? Now (with Justin Bieber) - Kaskade Remix,"5,278,049",0
Features,Where Are ?? Now (with Justin Bieber) - Marshmello Remix,"43,445,674",0
Features,Where Are ?? Now (with Justin Bieber) - Rustie Remix,"6,454,877",0
Features,Cold Water (feat. Justin Bieber & M??) [Afrojack Remix],"13,082,383",0
Features,Cold Water (feat. Justin Bieber & M??) [Boombox Cartel Remix],"3,193,064",0
Features,Cold Water (feat. Justin Bieber & M??) [Delirious & Alex K Remix],"2,342,396",0
Features,Cold Water (feat. Justin Bieber & M??) [King Henry & Jr Blender Remix],"1,758,867",0
Features,Cold Water (feat. Justin Bieber & M??) [Lost Frequencies Remix],"27,423,529",0
Features,Cold Water (feat. Justin Bieber & M??) [Ocular Remix],"2,016,655",0
Features,Let Me Love You - Sean Paul Remix,"12,160,283",0
Features,Cold Water (feat. Justin Bieber & M??) [Don Omar Remix],"14,216,443",0
Features,Where Are ?? Now LIVE (with Justin Bieber),"6,044,553",0
Features,2U (feat. Justin Bieber) - R3HAB Remix,"6,513,768",0
Features,2U (feat. Justin Bieber) - Seeb Remix,"7,413,032",0
Features,2U (feat. Justin Bieber) - Symphonic,"4,521,787",0
Features,2U (feat. Justin Bieber) - FRNDS Remix,"5,268,628",0
Features,2U (feat. Justin Bieber) - Tujamo Remix,"2,772,247",0
Features,2U (feat. Justin Bieber) - Robin Schulz Remix,"3,308,886",0
Features,2U (feat. Justin Bieber) - GLOWINTHEDARK Remix,"2,245,722",0
Features,2U (feat. Justin Bieber) - DJ Sub Zero Remix,"1,083,117",0
Features,Lean on Me - ArtistsCAN,"9,259,288",0
Features,Attention (with Justin Bieber) - Disclosure Remix,"3,346,988",0
